Id_App,Country,Name,Critic Name,Estrategic,Critic Info,Score,ClassifType,AppType,Deploy,Status,ServiceDomain,Quadrant,ProductDomain,Specialist,Architect App,Owner,Description,RTO,DRP,Deploy,Starting Year
11,Uruguay,Core Bancario,Bajo,SI,Alto,35.51,Microservicio,Legado,On-Premise,Activo,Risk Management,Migrate,Cuentas,Security Specialist,nan,Manuel Martín,Sistema legacy de cuentas,> 24 horas <= 3 Semanas,NO,On-Premise,2017
12,España,Plataforma de Hipotecas,Bajo,NO,Medio,55.88,API,Legado,Azure,Activo,Customer Service,Migrate,Cuentas,Integration Specialist,Enterprise Architect,Andrés Ramos,Sistema de reporting de cuentas,> 3 Semanas,NO,Azure,2018
13,Chile,Sistema de Transferencias SEPA,Muy Crítico,SI,Alto,86.61,Base de Datos,Servicio,Hybrid Cloud,Activo,Fraud Detection,Migrate,Cuentas,Cloud Specialist,nan,Roberto Marín,Servicio de autenticación de cuentas,> 24 horas <= 3 Semanas,NO,Hybrid Cloud,2022
14,Chile,Wallet Digital,Bajo,SI,Alto,59.79,Base de Datos,Legado,Kyndryl,Mantenimiento,Treasury Operations,Transform,Créditos,Security Specialist,Cloud Architect,Miguel Álvarez,Portal de autoservicio de créditos,> 3 Semanas,NO,Kyndryl,2019
15,España,Plataforma de Seguros,Muy Crítico,SI,Bajo,82.55,Frontend,Contenedor,GCP,Deprecado,Core Banking,Migrate,Pagos,Cloud Specialist,Solution Architect,Carlos Martínez,Plataforma de análisis de pagos,> 12 horas <= 24 horas,NO,GCP,2016
16,México,CRM Bancario,Bajo,NO,Alto,83.62,Módulo Externo,Legado,GCP,Deprecado,Wealth Management,Modernize,Marketing,Security Specialist,Enterprise Architect,Pedro Alonso,Aplicación web para marketing,> 3 Semanas,NO,GCP,2010
17,Venezuela,Data Lake Corporativo,Muy Crítico,SI,Medio,16.61,Middleware,Serverless,Hybrid Cloud,Activo,Credit Management,Migrate,Analítica,Backend Specialist,Enterprise Architect,Fernando Serrano,Portal de autoservicio de analítica,> 3 Semanas,NO,Hybrid Cloud,2020
18,México,Sistema de Alertas,Muy Crítico,NO,Bajo,46.48,Middleware,Híbrido,Kyndryl,En Desarrollo,Core Banking,Modernize,Operaciones,nan,Enterprise Architect,Raquel Castro,Frontend web de operaciones,> 12 horas <= 24 horas,NO,Kyndryl,2014
19,Argentina,Portal de Accionistas,Muy Crítico,NO,Alto,10.98,Frontend,Cloud,Kyndryl,Mantenimiento,Risk Management,Eliminate,Tarjetas,Cloud Specialist,nan,Jorge Ortiz,Servicio de autenticación de tarjetas,> 12 horas <= 24 horas,SI,Kyndryl,2018
20,Perú,Plataforma de Trading,Bajo,NO,Alto,65.61,Microservicio,Contenedor,AWS,En Desarrollo,Corporate Banking,Transform,Cuentas,Frontend Specialist,nan,Natalia Rubio,Backend de procesamiento de cuentas,> 12 horas <= 24 horas,NO,AWS,2024
21,México,Sistema de Compliance,Bajo,SI,Alto,37.98,Backend,Contenedor,Hybrid Cloud,Activo,Data Analytics,Migrate,Créditos,Data Specialist,nan,Silvia Blanco,Gestor de workflows de créditos,> 3 Semanas,NO,Hybrid Cloud,2022
22,Colombia,Gestor Documental,Bajo,NO,Alto,38.88,Aplicación,Contenedor,Azure,Mantenimiento,Operational Gateway,Invest,Operaciones,Backend Specialist,Integration Architect,Carmen Gómez,Motor de cálculo para operaciones,>= 0 Minutos <= 4 Horas,NO,Azure,2017
23,México,Plataforma de Préstamos Personales,Medio,SI,Medio,73.54,Microservicio,Serverless,Kyndryl,Activo,Treasury Operations,Tolerate,Marketing,Cloud Specialist,Data Architect,Juan Domínguez,Gestor de workflows de marketing,> 12 horas <= 24 horas,NO,Kyndryl,2023
24,Chile,Sistema de Nóminas,Medio,SI,Medio,84.75,Middleware,Serverless,On-Premise,En Desarrollo,Treasury Operations,Invest,Adquisiciones,Data Specialist,Cloud Architect,Jorge Ortiz,Base de datos de adquisiciones,> 4 Horas <= 12 horas,NO,On-Premise,2016
25,Turquía,Portal de Proveedores,Medio,NO,Alto,38.33,Backend,Servicio,AWS,Deprecado,Operational Gateway,Eliminate,Seguros,Data Specialist,Security Architect,Sergio Lozano,Plataforma de análisis de seguros,> 3 Semanas,SI,AWS,2020
26,Argentina,Plataforma TPV Virtual,Crítico,SI,Medio,86.09,API,Legado,Azure,Mantenimiento,Risk Management,Eliminate,Analítica,Cloud Specialist,Security Architect,Alicia Mendoza,Sistema de notificaciones de analítica,> 3 Semanas,NO,Azure,2016
27,Perú,Sistema de Conciliación,Medio,SI,Medio,51.28,Base de Datos,Servicio,IBM Cloud,En Desarrollo,Treasury Operations,Migrate,Gestión de Riesgos,Frontend Specialist,Integration Architect,Javier Díaz,Motor de cálculo para gestión de riesgos,> 12 horas <= 24 horas,SI,IBM Cloud,2010
28,Paraguay,Plataforma de Factoring,Crítico,NO,Bajo,75.42,Microservicio,Servicio,Azure,Deprecado,Customer Service,Modernize,Pagos,Frontend Specialist,Cloud Architect,María García,Portal de autoservicio de pagos,> 3 Semanas,NO,Azure,2022
29,España,Gestor de Avales,Medio,NO,Alto,48.25,Frontend,Servicio,Kyndryl,Deprecado,Core Banking,Transform,Pagos,Integration Specialist,Cloud Architect,Silvia Blanco,Gestor de workflows de pagos,> 12 horas <= 24 horas,SI,Kyndryl,2012
30,Estados Unidos,Sistema de Leasing,Muy Crítico,NO,Bajo,19.16,API,Cloud,Hybrid Cloud,Mantenimiento,eBranch Operations,Transform,Adquisiciones,DevOps Specialist,Security Architect,Antonio Pérez,Base de datos de adquisiciones,> 4 Horas <= 12 horas,NO,Hybrid Cloud,2013
31,Uruguay,Plataforma de Confirming,Medio,SI,Alto,79.83,Base de Datos,Servicio,Hybrid Cloud,Deprecado,Risk Management,Transform,Pagos,Backend Specialist,Cloud Architect,Rafael Navarro,Sistema de notificaciones de pagos,>= 0 Minutos <= 4 Horas,SI,Hybrid Cloud,2012
32,Chile,Portal de Banca Privada,Muy Crítico,NO,Medio,63.85,API,Servicio,IBM Cloud,En Desarrollo,Credit Management,Modernize,Créditos,Integration Specialist,Integration Architect,Sergio Lozano,Plataforma de análisis de créditos,> 24 horas <= 3 Semanas,NO,IBM Cloud,2022
33,Perú,Sistema de Gestión de Efectivo,Medio,NO,Medio,46.1,Microservicio,Cloud,On-Premise,Deprecado,Credit Management,Invest,Marketing,Data Specialist,Enterprise Architect,Raquel Castro,Frontend web de marketing,> 12 horas <= 24 horas,SI,On-Premise,2015
34,Uruguay,Plataforma de Divisas,Medio,NO,Alto,62.91,Microservicio,Cloud,IBM Cloud,Activo,Customer Service,Tolerate,Adquisiciones,DevOps Specialist,Enterprise Architect,Pedro Alonso,Frontend web de adquisiciones,> 4 Horas <= 12 horas,SI,IBM Cloud,2021
35,Argentina,Sistema de Riesgos,Muy Crítico,SI,Medio,80.27,Middleware,Cloud,On-Premise,Deprecado,Risk Management,Invest,Tarjetas,Frontend Specialist,Integration Architect,Carlos Martínez,Sistema de reporting de tarjetas,>= 0 Minutos <= 4 Horas,NO,On-Premise,2013
36,Uruguay,Motor de Recomendaciones,Medio,SI,Bajo,86.37,Frontend,Servicio,Kyndryl,Mantenimiento,Customer Service,Migrate,Comercio Exterior,Data Specialist,nan,Elena Torres,Aplicación web para comercio exterior,>= 0 Minutos <= 4 Horas,SI,Kyndryl,2018
37,México,Plataforma de Marketing Digital,Crítico,NO,Alto,75.89,Backend,Cloud,On-Premise,Activo,Customer Service,Transform,Seguros,Frontend Specialist,Data Architect,Mónica Medina,Sistema de reporting de seguros,>= 0 Minutos <= 4 Horas,NO,On-Premise,2018
38,Chile,Sistema de Business Intelligence,Medio,NO,Alto,53.33,Base de Datos,Serverless,IBM Cloud,Activo,Wealth Management,Modernize,Cuentas,Backend Specialist,Solution Architect,Miguel Álvarez,Motor de cálculo para cuentas,>= 0 Minutos <= 4 Horas,SI,IBM Cloud,2010
39,España,Portal de Autoservicio,Crítico,NO,Bajo,67.65,Backend,Contenedor,Azure,Mantenimiento,Data Analytics,Transform,Analítica,Integration Specialist,Security Architect,Cristina Romero,Sistema legacy de analítica,> 24 horas <= 3 Semanas,SI,Azure,2014
40,Chile,Plataforma de Video Identificación,Crítico,SI,Alto,67.07,Base de Datos,Contenedor,IBM Cloud,Mantenimiento,Risk Management,Invest,Pagos,Data Specialist,nan,Carlos Martínez,Base de datos de pagos,> 3 Semanas,NO,IBM Cloud,2020
41,Paraguay,Sistema de Firma Digital,Bajo,SI,Bajo,21.2,Frontend,Serverless,GCP,Mantenimiento,Customer Offer,Modernize,Seguros,Frontend Specialist,Enterprise Architect,Mónica Medina,Servicio de integración de seguros,> 12 horas <= 24 horas,SI,GCP,2020
42,España,Gestor de Incidencias,Crítico,SI,Alto,44.23,Aplicación,Cloud,GCP,En Desarrollo,Data Analytics,Transform,Operaciones,Data Specialist,Solution Architect,Mónica Medina,Plataforma cloud-native de operaciones,> 4 Horas <= 12 horas,SI,GCP,2015
43,Estados Unidos,Plataforma de Chatbot,Bajo,SI,Bajo,89.53,Microservicio,Legado,Azure,En Desarrollo,Payment Processing,Migrate,Hipotecas,Data Specialist,Cloud Architect,Sergio Lozano,API REST para hipotecas,> 4 Horas <= 12 horas,NO,Azure,2012
44,Paraguay,Sistema de Notificaciones Push,Muy Crítico,NO,Alto,42.13,Aplicación,Contenedor,On-Premise,Activo,Treasury Operations,Eliminate,Ventas,nan,Cloud Architect,Alberto Molina,Sistema de reporting de ventas,>= 0 Minutos <= 4 Horas,NO,On-Premise,2017
45,España,Portal de Educación Financiera,Bajo,SI,Medio,32.41,Backend,Cloud,GCP,En Desarrollo,Core Banking,Tolerate,Seguros,Cloud Specialist,Data Architect,Marta Moreno,Frontend web de seguros,>= 0 Minutos <= 4 Horas,NO,GCP,2011
46,Perú,Plataforma de Sostenibilidad,Bajo,NO,Medio,77.99,Módulo Externo,Contenedor,On-Premise,Activo,Corporate Banking,Modernize,Analítica,Security Specialist,Data Architect,Ana López,Portal de autoservicio de analítica,> 4 Horas <= 12 horas,NO,On-Premise,2022
47,Argentina,Sistema de Reporting Regulatorio,Muy Crítico,NO,Medio,84.54,Base de Datos,Serverless,Hybrid Cloud,En Desarrollo,Mobile Banking,Eliminate,Canal Digital,Frontend Specialist,nan,Antonio Pérez,Plataforma para gestión de canal digital,> 24 horas <= 3 Semanas,SI,Hybrid Cloud,2023
48,Colombia,Plataforma de Open Banking,Crítico,SI,Medio,91.81,Módulo Externo,Contenedor,On-Premise,En Desarrollo,Data Analytics,Tolerate,Cuentas,Integration Specialist,Enterprise Architect,Javier Díaz,Servicio de autenticación de cuentas,> 3 Semanas,NO,On-Premise,2011
49,Venezuela,API de Cuentas,Muy Crítico,SI,Medio,17.42,Módulo Externo,Legado,On-Premise,Mantenimiento,Treasury Operations,Invest,Ventas,Frontend Specialist,Enterprise Architect,Miguel Álvarez,Sistema de procesamiento de ventas,> 3 Semanas,NO,On-Premise,2014
50,España,API de Pagos,Muy Crítico,SI,Medio,37.97,Backend,Contenedor,Kyndryl,Deprecado,Operational Gateway,Eliminate,Canal Digital,DevOps Specialist,nan,Isabel Jiménez,Sistema de procesamiento de canal digital,> 4 Horas <= 12 horas,SI,Kyndryl,2016
51,Uruguay,Sistema de Tokenización,Bajo,SI,Medio,42.75,Middleware,Serverless,IBM Cloud,En Desarrollo,Corporate Banking,Modernize,Hipotecas,Frontend Specialist,nan,Beatriz Gil,Frontend web de hipotecas,>= 0 Minutos <= 4 Horas,NO,IBM Cloud,2010
52,Perú,Plataforma de Blockchain,Bajo,NO,Bajo,41.58,API,Servicio,Azure,Deprecado,Risk Management,Tolerate,Banca Privada,Security Specialist,Data Architect,Rafael Navarro,Frontend web de banca privada,> 3 Semanas,NO,Azure,2017
53,Estados Unidos,Sistema de Ciberseguridad,Medio,SI,Medio,89.49,Frontend,Legado,Azure,En Desarrollo,Corporate Banking,Modernize,Ventas,Integration Specialist,nan,Mónica Medina,Servicio de integración de ventas,> 4 Horas <= 12 horas,NO,Azure,2017
54,México,Portal de Desarrolladores,Crítico,SI,Bajo,31.39,Aplicación,Serverless,AWS,En Desarrollo,eBranch Operations,Migrate,Tarjetas,Backend Specialist,Cloud Architect,Juan Domínguez,Plataforma de análisis de tarjetas,>= 0 Minutos <= 4 Horas,NO,AWS,2022
55,Chile,Plataforma de Microcréditos,Medio,SI,Bajo,73.66,Frontend,Serverless,Hybrid Cloud,Activo,Mobile Banking,Transform,Canal Digital,Data Specialist,Data Architect,Óscar Cortés,Servicio de integración de canal digital,> 4 Horas <= 12 horas,SI,Hybrid Cloud,2022
56,México,Sistema de Gestión de Garantías,Bajo,SI,Bajo,19.69,Backend,Híbrido,On-Premise,Mantenimiento,Risk Management,Eliminate,Analítica,Security Specialist,Cloud Architect,Laura Sánchez,Plataforma cloud-native de analítica,> 24 horas <= 3 Semanas,SI,On-Premise,2011
57,Venezuela,Portal de Financiación Empresarial,Bajo,NO,Medio,74.39,Microservicio,Servicio,Hybrid Cloud,En Desarrollo,Mobile Banking,Tolerate,Transferencias,Frontend Specialist,Enterprise Architect,Alicia Mendoza,Sistema legacy de transferencias,> 3 Semanas,SI,Hybrid Cloud,2014
58,Chile,Plataforma de Análisis Predictivo,Bajo,NO,Alto,28.7,Middleware,Servicio,On-Premise,Activo,Risk Management,Modernize,Créditos,Backend Specialist,Enterprise Architect,Isabel Jiménez,Plataforma cloud-native de créditos,>= 0 Minutos <= 4 Horas,NO,On-Premise,2014
59,Argentina,Sistema de Customer Journey,Medio,NO,Alto,32.46,Módulo Externo,Contenedor,Hybrid Cloud,Deprecado,Customer Service,Modernize,Seguros,Security Specialist,Solution Architect,Sara Gutiérrez,Sistema de procesamiento de seguros,> 12 horas <= 24 horas,SI,Hybrid Cloud,2012
60,Uruguay,Portal de Onboarding Empresas,Bajo,SI,Alto,15.89,Base de Datos,Servicio,AWS,Deprecado,Customer Service,Invest,Adquisiciones,Frontend Specialist,Enterprise Architect,Carmen Gómez,Sistema de notificaciones de adquisiciones,>= 0 Minutos <= 4 Horas,SI,AWS,2011
61,México,Plataforma de Gestión de Liquidez,Bajo,SI,Bajo,40.73,Frontend,Híbrido,Kyndryl,Mantenimiento,eBranch Operations,Invest,Transferencias,Frontend Specialist,Data Architect,Javier Díaz,Plataforma cloud-native de transferencias,>= 0 Minutos <= 4 Horas,NO,Kyndryl,2020
62,Perú,Sistema de Tesorería,Muy Crítico,SI,Medio,16.65,Frontend,Serverless,AWS,Deprecado,Mobile Banking,Migrate,Gestión de Riesgos,Data Specialist,Solution Architect,Carmen Gómez,Plataforma para gestión de gestión de riesgos,> 3 Semanas,NO,AWS,2010
63,Perú,Portal de Comercio Exterior,Muy Crítico,NO,Medio,29.69,Backend,Serverless,Kyndryl,Activo,Fraud Detection,Transform,Cuentas,Cloud Specialist,Cloud Architect,David Ruiz,Aplicación móvil de cuentas,> 24 horas <= 3 Semanas,SI,Kyndryl,2017
64,Venezuela,Plataforma de Derivados,Medio,NO,Alto,37.05,API,Híbrido,AWS,En Desarrollo,Risk Management,Tolerate,Hipotecas,Integration Specialist,Solution Architect,Natalia Rubio,Plataforma de integración de hipotecas,> 3 Semanas,NO,AWS,2012
65,Venezuela,Sistema de Gestión de Colaterales,Bajo,NO,Bajo,26.18,Frontend,Legado,On-Premise,En Desarrollo,eBranch Operations,Modernize,Canal Digital,nan,Enterprise Architect,Antonio Pérez,Base de datos de canal digital,> 12 horas <= 24 horas,SI,On-Premise,2018
66,Uruguay,Portal de Banca Corporativa,Crítico,SI,Bajo,50.37,Aplicación,Cloud,Azure,En Desarrollo,Payment Processing,Modernize,Cuentas,nan,Data Architect,Antonio Pérez,Frontend web de cuentas,>= 0 Minutos <= 4 Horas,NO,Azure,2016
67,Uruguay,Plataforma de Renta Fija,Crítico,NO,Alto,19.84,Aplicación,Serverless,AWS,En Desarrollo,Wealth Management,Migrate,Tarjetas,DevOps Specialist,Integration Architect,Francisco Fernández,Plataforma de análisis de tarjetas,> 24 horas <= 3 Semanas,NO,AWS,2019
68,Colombia,Sistema de Gestión de Fondos,Bajo,NO,Bajo,18.55,Base de Datos,Servicio,Kyndryl,En Desarrollo,Core Banking,Modernize,Banca Privada,Security Specialist,Security Architect,Ana López,API REST para banca privada,> 3 Semanas,SI,Kyndryl,2024
69,Uruguay,Portal de Asesoramiento Financiero,Medio,NO,Bajo,46.06,Base de Datos,Híbrido,On-Premise,Activo,Corporate Banking,Eliminate,Banca Privada,Security Specialist,Cloud Architect,Sergio Lozano,Plataforma para gestión de banca privada,> 24 horas <= 3 Semanas,SI,On-Premise,2022
70,Paraguay,Plataforma de Robo-Advisory,Bajo,NO,Medio,68.7,Base de Datos,Servicio,On-Premise,En Desarrollo,eBranch Operations,Transform,Gestión de Riesgos,nan,Security Architect,Raquel Castro,Frontend web de gestión de riesgos,> 12 horas <= 24 horas,SI,On-Premise,2021
71,Paraguay,Sistema de Gestión Patrimonial,Crítico,SI,Bajo,66.16,API,Híbrido,Hybrid Cloud,Activo,Payment Processing,Transform,Créditos,nan,Solution Architect,Verónica Guerrero,Plataforma de análisis de créditos,> 24 horas <= 3 Semanas,SI,Hybrid Cloud,2016
72,Turquía,Portal de Planes de Pensiones,Bajo,NO,Bajo,90.32,API,Híbrido,On-Premise,Deprecado,Customer Service,Migrate,Seguros,Security Specialist,Enterprise Architect,Óscar Cortés,Backend de procesamiento de seguros,> 3 Semanas,NO,On-Premise,2016
73,España,Plataforma de Seguros de Vida,Medio,SI,Bajo,87.82,API,Cloud,IBM Cloud,Mantenimiento,eBranch Operations,Migrate,Cuentas,Backend Specialist,nan,José Rodríguez,Servicio de integración de cuentas,>= 0 Minutos <= 4 Horas,NO,IBM Cloud,2021
74,Estados Unidos,Sistema de Seguros de Hogar,Crítico,SI,Medio,21.4,Microservicio,Serverless,Hybrid Cloud,Deprecado,Customer Offer,Invest,Ventas,Cloud Specialist,Cloud Architect,Patricia Hernández,Motor de cálculo para ventas,> 3 Semanas,SI,Hybrid Cloud,2024
75,Venezuela,Portal de Seguros de Salud,Crítico,NO,Bajo,65.33,Middleware,Servicio,IBM Cloud,Deprecado,Security & Compliance,Invest,Cuentas,Integration Specialist,nan,José Rodríguez,Motor de cálculo para cuentas,> 12 horas <= 24 horas,NO,IBM Cloud,2012
76,Chile,Plataforma de Seguros de Automóvil,Bajo,NO,Alto,58.81,Microservicio,Servicio,Azure,Deprecado,Customer Offer,Transform,Cuentas,Integration Specialist,Security Architect,Patricia Hernández,Gestor de workflows de cuentas,> 24 horas <= 3 Semanas,SI,Azure,2021
77,Perú,Sistema de Gestión de Siniestros,Muy Crítico,SI,Alto,23.21,Microservicio,Cloud,Kyndryl,En Desarrollo,Data Analytics,Modernize,Tarjetas,Backend Specialist,Enterprise Architect,Luis Garrido,Portal de autoservicio de tarjetas,> 24 horas <= 3 Semanas,NO,Kyndryl,2017
78,Turquía,Portal de Mediadores,Crítico,SI,Medio,20.97,Microservicio,Legado,Azure,En Desarrollo,Mobile Banking,Tolerate,Operaciones,Integration Specialist,Solution Architect,Silvia Blanco,Plataforma para gestión de operaciones,> 3 Semanas,SI,Azure,2014
79,Turquía,Plataforma de Microseguros,Crítico,SI,Bajo,86.27,Frontend,Servicio,Hybrid Cloud,En Desarrollo,eBranch Operations,Transform,Comercio Exterior,nan,Enterprise Architect,José Rodríguez,Microservicio de comercio exterior,> 24 horas <= 3 Semanas,SI,Hybrid Cloud,2011
80,Argentina,Sistema de Gestión de Pólizas,Muy Crítico,SI,Alto,22.31,Base de Datos,Híbrido,Kyndryl,En Desarrollo,eBranch Operations,Migrate,Seguros,Data Specialist,Enterprise Architect,Andrés Ramos,Plataforma de análisis de seguros,> 3 Semanas,SI,Kyndryl,2019
81,Turquía,Portal de Reclamaciones,Crítico,SI,Bajo,85.92,API,Contenedor,Azure,En Desarrollo,Mobile Banking,Modernize,Operaciones,Data Specialist,Solution Architect,Manuel Martín,Servicio de integración de operaciones,> 3 Semanas,SI,Azure,2014
82,Estados Unidos,Plataforma de Prevención de Blanqueo,Medio,NO,Bajo,88.81,Base de Datos,Legado,Hybrid Cloud,Mantenimiento,Corporate Banking,Eliminate,Pagos,nan,Enterprise Architect,Elena Torres,Frontend web de pagos,> 12 horas <= 24 horas,NO,Hybrid Cloud,2017
83,México,Sistema de KYC,Crítico,SI,Bajo,86.09,Backend,Contenedor,Kyndryl,En Desarrollo,Credit Management,Modernize,Comercio Exterior,nan,Data Architect,Fernando Serrano,Servicio de autenticación de comercio exterior,> 4 Horas <= 12 horas,SI,Kyndryl,2015
84,Perú,Portal de Due Diligence,Medio,SI,Alto,41.66,Middleware,Legado,Azure,Mantenimiento,Security & Compliance,Tolerate,Transferencias,DevOps Specialist,Cloud Architect,Pilar Santos,API REST para transferencias,> 3 Semanas,SI,Azure,2010
85,España,Plataforma de Monitorización de Transacciones,Muy Crítico,NO,Alto,34.75,Microservicio,Servicio,Azure,Deprecado,Data Analytics,Eliminate,Hipotecas,nan,Integration Architect,Natalia Rubio,Servicio de autenticación de hipotecas,> 12 horas <= 24 horas,NO,Azure,2019
86,Paraguay,Sistema de Listas de Control,Bajo,NO,Medio,12.72,Base de Datos,Cloud,Azure,Deprecado,eBranch Operations,Eliminate,Pagos,Backend Specialist,Integration Architect,Lucía Vázquez,Backend de procesamiento de pagos,> 12 horas <= 24 horas,SI,Azure,2017
87,Uruguay,Portal de Sanciones,Muy Crítico,NO,Bajo,71.09,Frontend,Híbrido,Kyndryl,Mantenimiento,Fraud Detection,Tolerate,Banca Privada,DevOps Specialist,Cloud Architect,Óscar Cortés,Sistema de procesamiento de banca privada,>= 0 Minutos <= 4 Horas,NO,Kyndryl,2023
88,Argentina,Plataforma de Gestión de Riesgo Operacional,Bajo,SI,Alto,37.67,Backend,Servicio,AWS,Mantenimiento,Customer Offer,Tolerate,Marketing,nan,Integration Architect,Cristina Romero,Base de datos de marketing,> 12 horas <= 24 horas,SI,AWS,2016
89,Estados Unidos,Sistema de Gestión de Riesgo de Crédito,Muy Crítico,SI,Medio,47.07,Base de Datos,Híbrido,GCP,Mantenimiento,Customer Service,Modernize,Cuentas,Frontend Specialist,Enterprise Architect,Lucía Vázquez,Sistema de procesamiento de cuentas,> 3 Semanas,NO,GCP,2013
90,Venezuela,Portal de Riesgo de Mercado,Crítico,SI,Alto,42.74,Middleware,Cloud,GCP,En Desarrollo,Data Analytics,Invest,Cuentas,DevOps Specialist,nan,Antonio Pérez,Frontend web de cuentas,> 4 Horas <= 12 horas,NO,GCP,2020
91,Colombia,Plataforma de Stress Testing,Medio,SI,Bajo,80.1,Middleware,Servicio,GCP,Activo,Wealth Management,Transform,Hipotecas,Integration Specialist,nan,Elena Torres,Base de datos de hipotecas,> 12 horas <= 24 horas,SI,GCP,2017
92,Chile,Sistema de Gestión de Capital,Crítico,SI,Alto,94.72,Middleware,Contenedor,Kyndryl,Deprecado,Mobile Banking,Eliminate,Comercio Exterior,nan,Integration Architect,Raquel Castro,Servicio de integración de comercio exterior,> 12 horas <= 24 horas,SI,Kyndryl,2010
93,Chile,Portal de ICAAP,Bajo,SI,Medio,89.41,Frontend,Cloud,Azure,Activo,Wealth Management,Tolerate,Gestión de Riesgos,Integration Specialist,Integration Architect,Isabel Jiménez,Plataforma de integración de gestión de riesgos,>= 0 Minutos <= 4 Horas,NO,Azure,2015
94,México,Plataforma de Gestión de Morosidad,Muy Crítico,NO,Medio,78.43,Módulo Externo,Legado,GCP,Activo,Payment Processing,Invest,Comercio Exterior,Integration Specialist,Integration Architect,Natalia Rubio,Plataforma de integración de comercio exterior,> 4 Horas <= 12 horas,NO,GCP,2019
95,Estados Unidos,Sistema de Recuperaciones,Bajo,NO,Bajo,51.05,Base de Datos,Cloud,AWS,Activo,Security & Compliance,Modernize,Cumplimiento,Security Specialist,Integration Architect,Laura Sánchez,Backend de procesamiento de cumplimiento,> 4 Horas <= 12 horas,SI,AWS,2014
96,Venezuela,Portal de Gestión de NPL,Crítico,NO,Medio,36.97,API,Legado,Azure,En Desarrollo,eBranch Operations,Tolerate,Marketing,DevOps Specialist,Security Architect,Luis Garrido,Sistema de notificaciones de marketing,>= 0 Minutos <= 4 Horas,NO,Azure,2016
97,Paraguay,Plataforma de Provisiones,Crítico,NO,Alto,51.72,Frontend,Contenedor,Hybrid Cloud,En Desarrollo,Mobile Banking,Transform,Gestión de Riesgos,nan,Solution Architect,Raquel Castro,Frontend web de gestión de riesgos,>= 0 Minutos <= 4 Horas,SI,Hybrid Cloud,2016
98,Uruguay,Sistema de Gestión de Impagados,Crítico,NO,Medio,65.63,API,Híbrido,AWS,En Desarrollo,eBranch Operations,Invest,Cuentas,Cloud Specialist,nan,Javier Díaz,Aplicación web para cuentas,> 3 Semanas,NO,AWS,2022
